@BAS0001,キャンバス：絵を描くメイン画面です。
@AST0112,補助線（ピクセル指定２）の使用を切り替えます。※表示に適さない拡大率の時、自動的に非表示になります。
@AST0113,補助線（ピクセル指定２）の色と不透明度を変更します。
@AST0114,補助線（ピクセル指定２）のピクセル間隔を変更します。
@AST0120,補助線の色を変更します。
@AST0121,補助線の不透明度を変更します。
@AST0122,変更を終了して、サブメニューを閉じます。
@POS0001,お絵カキコを投稿します。
@CFG0010,現在のポインタ座標を表示します。（位置：左下）
@CFG0016,過去に使用したキャンバスサイズの履歴です。直近8件まで保存されます。
@CFG0017,新規キャンバスを作成します。（現在の描画内容はすべて消去されます）
@CFG0018,現在の描画内容を残したまま、キャンバスのサイズを変更します。
@CFG0019,描画内容をPNG形式ファイルとしてダウンロードします。ファイル名は現在日時が付与されます。
@CFG0020,ぼかし（アンチエイリアシング）を無効にします。（ドット絵がボケなくなります）
@CFG0021,ぼかし（アンチエイリアシング）を有効にします。
@CFG0022,現在のポインタ座標を表示しません。
@CFG0023,現在のポインタ座標を表示します。（位置：左上）
@CFG0024,現在のポインタ座標を表示します。（位置：右上）
@CFG0025,現在のポインタ座標を表示します。（位置：右下）
@CFG0026,ツール起動時、ウィンドウ配置を毎回初期化します。
@CFG0027,ツール起動時、ウィンドウ配置を前回終了時の位置に復元します。
@CFG0028,ウィンドウ位置の自動調整を行いません。
@CFG0029,ブラウザの画面サイズを変更したとき、ウィンドウが画面内に収まるように自動調整を行います。
@CFG0030,すべてのツールウィンドウの配置を初期状態に戻します。
@CFG0034,ツール起動時、ペンの太さ、不透明度などを毎回初期化します。
@CFG0035,ツール起動時、ペンの太さ、不透明度などを前回終了時の値に復元します。
@CFG0036,アイコンボタンのサイズを変更します。
@CFG0037,ウィンドウを開く際に、他のウィンドウが自動的に閉じるようになります。一括開閉ボタンは無効になります。
@CFG0040,全ペン共通の手ぶれ補正の強さを変更します。数値が大きいほど強い補正がかかります。0を指定すると補正を行いません。
@CFG0041,ペンツールウィンドウ内にレンジスライダーを表示して、キャンバス画面でも手ぶれ補正を変更できるようにします。
@CFG0043,自動切換機能を使用しません。
@CFG0044,スポイトで色を取得した時、自動的にペンに切り替えます。
@CFG0045,長押しスポイト機能を使用しません。
@CFG0046,キャンバス上の取得したい色の位置で、ペン（またはマウスクリック）を長押しすることでスポイトが動作します。
@CFG0047,長押し入力として認識するために、押し続ける必要がある時間を設定します。1000ミリ秒=１秒
@CFG0048,長押し入力時に許容する手ぶれの範囲を設定します。数値が大きいほど長押しが認識されやすくなりますが、通常描画に影響がでます。
@CFG0049,トーン濃度レンジスライダーを使用しません。
@CFG0050,トーン濃度レンジスライダーをペンツールに追加します。
@CFG0051,太さレンジスライダーを上に表示します。
@CFG0052,不透明度レンジスライダーを上に表示します。
@CFG0053,混色パレットを使用しません。
@CFG0054,混色パレットを使用します。
@CFG0055,RGBスライダーを使用しません。
@CFG0056,光の三原色（赤、緑、青）強さを指定して色作成するスライダーを使用します。
@CFG0057,カラーピッカーを使用しません。
@CFG0058,HSV色空間（色相、彩度、明度）を指定するカラーピッカーを使用します。
@CFG0059,ツール起動時、カラーパレットを毎回初期化します。
@CFG0060,ツール起動時、カラーパレットを前回終了時の色に復元します。
@CFG0062,パレット編集モード時にレンジスライダーを表示して、キャンバス画面でも横幅を変更できるようにします。
@CFG0063,カラーパレットの列数を変更します。∞を指定すると常に１行になります。
@CFG0064,現在のカラーパレットの内容をテキストファイルとしてダウンロードします。
@CFG0065,色保存で作成したテキストファイルを読み込み、カラーパレットを更新します。
@CFG0066,カラーパレットを初期状態に戻します。
@CFG0067,アンドゥ／リドゥの可能回数を変更します。メモリ不足で動作が不安定になる場合は値を小さく設定してください。
@CFG0070,拡大率を追加します。
@CFG0071,選択している拡大率を削除します。
@CFG0072,拡大率を初期状態に戻します。
@CFG0080,カスタムボタンを使用しません。
@CFG0081,カスタムボタンツールウィンドウを画面に追加します。
@CFG0082,ボタンに機能を割り当てません。
@CFG0083,ボタンでアンドゥを実行します。
@CFG0084,ボタンでスポイトを実行します。
@CFG0085,ボタンを押しながらドラッグでキャンバスの位置を移動します。
@CFG0086,ボタンで拡大率とキャンバス位置をリセットします。
@CFG0087,ボタンでメインカラーとサブカラーを切り替えます。
@CFG0088,ボタンでメインカラーと透明色を切り替えます。
@CFG0089,ホイールに機能を割り当てません。
@CFG0090,ホイールでキャンバスを拡大/縮小します。
@CFG0091,ホイールでキャンバスの位置を移動します。
@CFG0092,操作を無効にします。タッチペン使用時、指による誤描画を防止します。
@CFG0093,１本指タッチで描画を行います。指で線を描くことができます。
@CFG0094,１本指タッチでハンドツールを操作します。指でキャンバスを移動できます。
@CFG0095,操作を無効にします。
@CFG0096,２本指スワイプ操作でキャンバスの移動を行います。
@CFG0097,操作を無効にします。
@CFG0098,ピンチアウト／ピンチイン操作でキャンバスの拡大／縮小を行います。
@CFG0099,操作を無効にします。
@CFG0100,２本指タップ操作でアンドゥを行います。
@CFG0101,操作を無効にします。
@CFG0102,３本指タップ操作でリドゥを行います。
@CFG0103,タップ入力として認識するために、触れた指を離すまでの制限時間を設定します。1000ミリ秒=１秒
@CFG0108,１回のボタン操作でスクロールする量を設定します。
@CFG0111,機能が割り当てられていないキーを省略します。非表示のキーに機能を割り当てる場合はチェックを外してください。
@CFG0112,キーと割り当てられている機能の対応表です。セレクトボックスから機能を選んで割り当てを変更することができます。
@CFG0113,現在のショートカット設定をテキストファイルとしてダウンロードします。
@CFG0114,ショートカットファイルを読み込み、ショートカット設定を更新します。
@CFG0115,ショートカット設定を初期状態に戻します。
@CFG0120,合成モードを表示しません。
@CFG0121,合成モードをレイヤー名の下に表示します。
@CFG0122,合成モードをレイヤー名の下に表示します。（合成モードが通常の場合は表示を省略します）
@CFG0123,登録されているレイヤー名を変更します。（最大8文字）
@CFG0124,登録されているレイヤー名を初期状態にリセットします。
@CFG0125,CMYKスライダーを使用しません。
@CFG0126,印刷用の減法混色（シアン・マゼンタ・イエロー・キープレート）を指定するスライダーを使用します。
@CFG0127,Labスライダーを使用しません。
@CFG0128,知覚的な均等性を持つCIE Lab色空間（明度・色相a・色相b）を指定するスライダーを使用します。
@CFG0200,ぼかし度レンジスライダーを使用しません。
@CFG0201,ぼかし度レンジスライダーをペンツールに追加します。
@CFG0211,追加する拡大率を入力します。
@CFG0212,現在設定されている拡大率の一覧です。クリックで拡大率を選択します。
@CFG0220,マウスホイールの回転方向を反転して入力を受け付けます。
@CFG0221,１回のホイール操作でスクロールする量を設定します。
@CFG0222,連続してマウスホイールを回転させた時、入力を抑止する時間を設定します。1000ミリ秒=１秒
@CFG0223,マウスポインタの位置を参照し、キャンバスの狙った位置を拡大／縮小できるようにします。
@CFG0230,画面スクロールの向きを反転します。上スクロールは下スクロールに、左スクロールは右スクロールに変換されます。
@CFG0300,キャンバスの幅（横のサイズ）を入力します。（下のボタンで変更を確定します）
@CFG0301,キャンバスの高さ（縦のサイズ）を入力します。（下のボタンで変更を確定します）
@CFG0400,選択中のペンを使って透明色で描画します。（描画中だけ透明色に切り替わります）
@CFG0401,タップ入力時に許容する手ぶれの範囲を設定します。
@CFG2001,キャンバス全般に関する設定を行います。
@CFG2002,ツールウィンドウ全般に関する設定を行います。
@CFG2003,ペンツールの機能設定を行います。
@CFG2004,色作成の機能設定を行います。
@CFG2005,パレットの機能設定を行います。
@CFG2006,レイヤーの機能設定を行います。
@CFG2007,補助ツールの機能設定を行います。
@CFG2008,カスタムボタンの機能設定を行います。
@CFG2009,マウス／タッチパッド（トラックパッド）の設定を行います。
@CFG2010,タッチパネルの設定を行います。
@CFG2011,キーボードのキーコンフィグなどの設定を行います。
@CFG2013,AXNOS Paint起動時の設定を行います。
@CFG2020,バージョン情報を表示します。
@COL0001,%drawingColorName RGB:(%1)
@COL0002,透明色
@COL0003,メインカラー RGB:(%1) / サブカラー (%2)
@COL0004,混色パレット(%1%) RGB:(%2)
@AXP0001,拡大率：%1%
@AXP0003,%1の不透明度：%2
@AXP0004,補助線分割数 横：%1 / 縦：%2
@AXP0010,%1ペン／消しゴム切替(%2)
@AXP2000,描画色を混色パレット(%1%)に変更します。RGB:(%2)
@AXP3000,[編集モード] ドラッグで位置を入れ替え。色作成ウィンドウで選択中パレットの色を更新。
@AXP3001,%drawingColorNameを指定色に変更します。RGB:(%1)
@AXP4000,レイヤーの%1を切り替えます。(現在の状態:%2)
@AXP4001,ドラッグで表示順序を入れ替え。ダブルクリックでレイヤー名変更。
@AXP4010,レイヤー名の変更を決定して、サブメニューを閉じます。
@AXP4012,登録された名前に変更し、色を付与します。
@AXP4013,新しいレイヤー名を入力してください。
@AXP5000,%1の太さ：%2
@AXP5001,%1の不透明度：%2
@AXP5002,%1の塗り残し補正：%2
@AXP5003,%1の角度：%2
@AXP5004,%1のトーン濃度：%2
@AXP5005,[ CTRL ]: 押している間、ペンがスポイトに変化します。
@AXP5006,[ SPACE ]: 押している間、ペンがハンドに変化します。
@AXP5007,%1押している間、その場でペンの太さレンジスライダーを操作できます。
@AXP5008,%1のぼかし度：%2
@AXP5009,%1の丸み：%2
@AXP5010,ペンツールの種別選択中です。
@AXP5011,%1の硬さ：%2
@AXP5012,%1の広がり：%2
@AXP5013,%1の引きずり：%2
@AXP5014,%1の色の許容誤差：%2
@INF0001,%1は透明部分をロックしています。既に描画されている部分のみ上書き描画できます。
@INF0002,拡大率・キャンバスの位置・回転をリセットしました。
@INF0003,ツールウィンドウの位置を初期化しました。
@INF0005,背景のタイルプレビューを切り替えました。(現在の状態:%1)
@INF0006,%1を全面塗り潰ししました。
@INF0007,%1を90°回転しました。
@INF0008,%1はクリッピングです。描画内容は%2の形に切り抜かれます。
@INF0009,キャンバス全体のぼかしを切り替えました。(現在の状態:%1)
@INF0050,[ %1 ]を読み込みました。(画像サイズ 横:%2 × 縦:%3)
@INF0100,拡大率%1%を追加しました。
@INF0101,拡大率%1%を削除しました。
@INF0300,スロット%1にセーブしました。
@INF0301,スロット%1をロードしました。
@INF0302,自動保存されたデータをロードしました。
@INF0400,%1をアンドゥしました。（残り回数：%2）
@INF0401,%1をリドゥしました。（残り回数：%2）
@INF1000,全レイヤーの左右を反転しました。
@INF1001,選択中レイヤーの左右を反転しました。
@INF1002,全レイヤーの上下を反転しました。
@INF1003,選択中レイヤーの上下を反転しました。
@INF1004,補助線の表示を切り替えました。（現在の状態:%1）
@INF1005,背景を切り替えました。（現在の状態:%1）
@INF1010,%1に「透明度変換」フィルタを適用しました。
@INF1011,%1に「モザイク」フィルタを適用しました。
@INF1012,レイヤースタイルを変更しました。
@INF1013,マスクを編集しました。
@INF1014,%1に「グレースケール」フィルタを適用しました。
@INF1015,%1に「レベル補正」フィルタを適用しました。
@INF1016,%1に「トーンカーブ」フィルタを適用しました。
@INF1017,%1に「HSV調整」フィルタを適用しました。
@INF1018,%1に「カラーバランス」フィルタを適用しました。
@FLT0001,現在のレイヤーの色から透明度を作成します。白の除去、輝度、反転輝度を選択できます。
@FLT0002,現在のレイヤーへモザイク（ブロック平均化）を適用します。ブロックサイズを指定できます。
@FLT0003,現在のレイヤーをグレースケール（白黒）に変換します。
@INF2000,カラーコードの入力を受け付けました。%1 / RGB:(%2)
@INF3000,パレット編集モードに切り替えました。（パレットの更新／位置入れ替え／削除が行えます）
@INF3001,パレット編集モードを解除しました。
@INF3002,カラーパレットを削除しました。
@INF3003,カラーパレットを登録しました。RGB:(%1)
@INF4000,%1をクリアしました。
@INF4001,%1を作成しました。
@INF4002,%1を複製して、%2を作成しました。
@INF4003,%1を削除しました。
@INF4004,%1と%2を統合しました。
@INF4005,レイヤー名を[%1]に変更しました。
@INF4006,レイヤーの%1を切り替えました。(現在の状態:%2)
@INF4008,カラータグ名を[%1]に変更しました。
@INF4009,レイヤーに付与した色を解除しました。
@INF5000,表示を左に15度回転しました。
@INF5001,表示を右に15度回転しました。
@INF5002,表示を左に45度回転しました。
@INF5003,表示を右に45度回転しました。
@INF5004,回転表示の角度をリセットしました。
@CAU0001,%1が%2のため、描画を禁止しています。
@CAU0002,[ %1 ]キーには機能が割り当てられていません。（※設定で変更可能）
@CAU0003,%1が%2のため、全面塗り潰しできません。
@CAU0004,全面塗り潰しを使用する際は、ペン、消しゴム、バケツのいずれかを選択した状態にしてください。
@CAU0005,%1が%2のため、90°回転できません。
@CAU0006,%1の下層に親レイヤーが存在しないため、クリッピングが無効になっています。
@CAU0100,追加できる拡大率は%1個までです。
@CAU0101,拡大率%1%は既に追加されています。
@CAU0102,追加できる拡大率は%1～%2%です。
@CAU0103,削除する拡大率が選択されていません。
@CAU0104,拡大率100%は変更できません。
@CAU0200,%1の不透明度は変更できません。
@CAU0201,%1の不透明度は100が最大値です。
@CAU0202,%1の不透明度は5が最小値です。
@CAU0203,%1の太さは変更できません。
@CAU0204,%1の太さは200が最大値です。
@CAU0205,%1の太さは1が最小値です。
@CAU0206,補助線が表示されているときに有効なショートカットです。
@CAU0300,現在セーブ/ロード機能は使用できません。ヘルプをご確認下さい。
@CAU0301,スロット%1にはデータがありません。
@CAU0400,これ以上アンドゥできません。
@CAU0401,これ以上リドゥできません。
@CAU0500,%1は透明色を使用できません。
@CAU2000,カラーコードが正しくありません。入力例：#ffffff または #fff（#は省略可）
@CAU3000,すべてのパレットを削除することはできません。
@CAU3001,登録できるパレット数は%1個までです。
@CAU4000,%1がロック状態のため、クリアできません。
@CAU4001,%1は空白のレイヤーです。
@CAU4002,レイヤーは%1枚までです。
@CAU4003,%1がロック状態のため、削除できません。
@CAU4004,レイヤーをすべて削除することはできません。
@CAU4005,最下層のレイヤーは統合できません。
@CAU4006,%1が%2のため、統合できません。
@CAU4007,レイヤー名を空白にすることはできません。
@CAU4008,カラータグ名を空白にすることはできません。
@CAU5000,[ CTRL ]キーでスポイトに変化中です。別のペンは選択できません。
@CAU5001,[ SPACE ]キーでハンドに変化中です。別のペンは選択できません。
@CAU5002,スポイトを使用するにはキャンバス内を指定してください。
