axp_main_div_headerText,お知らせが表示されるエリアです。内容はサービスによって変化します。
axp_pen_div_preview,ペンの色や太さを視覚的に表示するプレビューです。ここをドラッグすると太さを変更できますよ。スポイトの時はこの部分がルーペに変化します。
axp_pen_range_alpha,不透明度を下げると重ね塗りした時、下地の色が透けるようになります。
axp_pen_range_penSize,スライダーを左右に動かすとペンの太さが変化します。
axp_pen_range_fillThreshold,塗り残し補正の値を大きくすることで、バケツ塗りした際に生じてしまう境界付近の塗り残しドットを補正することができます。
axp_pen_range_fillGradationDeg,グラデーションの向きを変えることができます。プレビューをドラッグすることでも変更できますよ。
axp_pen_range_radius,クレヨンの形を四角くしたり、丸くしたりすることができます。
axp_pen_range_blur,値を大きくすることで、ぼかしがかかった線を描くことができます。
axp_pen_range_toneLevel,値を小さくすることでスクリーントーンを貼ったような線に変化します。16だとペタ塗りになりトーンの効果が無効になります。
axp_pen_select_drawMode,直線や長方形を描きたい場合は、ここを「手描き」から変更してみてください。
axp_pen_select_fillMode,複数のレイヤーを使っている時、選択中のレイヤーに描かれている内容だけを参照して塗り分けしたい場合「現ﾚｲﾔｰ判定」に変えてみてください。
axp_pen_button_penBase,ペンを選択（オレンジ色）している時、キャンバスに線を描画することができます。２度ボタンを押すことで、ペンの種類を変えることができますよ。
axp_pen_button_eraserBase,消しゴムは、キャンバスに塗られている絵具を取り除き「透明」にする画材です。透明部分のロックや、クリッピングを使う場合に活躍します。
axp_pen_button_fillBase,バケツは線で囲まれた領域を一気に塗り潰す画材です。囲み方が不完全だと絵具が漏れ出してしまうので注意してくださいね。
axp_pen_button_handBase,ハンドツールを使うとキャンバスの位置を動かすことができます。画像の位置を動かしたい時は２度ボタン押しで「移動ツール」を選んでください。
axp_pen_button_spuitBase,スポイトはァ！ キャンバス上の絵具を吸ってェ！ 描画色にしてくれる画材なのですゥ！ はい、ちくっとしますねェ～！！
axp_penmode_round,丸ペンは常に一定の太さの線を描くペンです。
axp_penmode_square,角ペンは先端が四角形の線を描くペンです。
axp_penmode_dot,ドットペンは常にペンの太さで指定した間隔をあけて線を描くペンです。ドット絵を描く場合に適しています。
axp_penmode_fude,筆ペンは筆で書いたような強弱のついた線を描くことができるペンです。描くスピードがゆっくりだと太く、素早いと細く変化します。
axp_penmode_crayon,クレヨンはクレヨン風の線を描くペンです。丸みを調整することで形を変形することができます。
axp_penmode_brush,エアブラシはエアブラシで絵具を噴き付けたような線を描くペンです。
axp_penmode_eraser_round,辺が丸いソフト消しゴムです。消しゴムで消した境界に若干のぼかしがかかります。
axp_penmode_eraser_dot,辺が四角いハード消しゴムです。境界部分をくっきりと消去します。
axp_penmode_fill,単色で塗り潰す通常のバケツです。
axp_penmode_fillgradation,メインカラーとサブカラーのグラデーションで塗り潰す特別なバケツです。
axp_penmode_hand,キャンバスの位置を移動するツールです。
axp_penmode_move,キャンバスに描かれている画像を移動するツールです。キャンバス外にはみ出した部分は消去されるので注意してください。
axp_tool_span_canvasSize,キャンバスサイズです。投稿する画像サイズになります。[設定]-[キャンバス]でキャンバスサイズの変更ができます。
axp_tool_div_minimap_outer,キャンバスのサムネイル表示です。ハンドツールとしての機能も兼ね備えています。触ってみれば分かりますよ。
axp_tool_button_loupeDown,拡大率（キャンバスの表示倍率）を１段階下げます。最小倍率は25%です。
axp_tool_button_loupeReset,現在の拡大率（キャンバスの表示倍率）を表示します。押すと100%にリセットされ、キャンバス位置が中央に戻ります。
axp_tool_button_loupeUp,拡大率（キャンバスの表示倍率）を１段階上げます。最大倍率は1600%です。
axp_tool_button_undo,直前の描画を取り消して元に戻すことができます。連続してボタンを押すことで、()内の数字の分だけ遡って戻すことができます。
axp_tool_button_redo,アンドゥで戻した描画を再度描画します。新たな描画を描き加えるとアンドゥが確定され、リドゥ可能回数がリセットされます。
axp_tool_button_restore,ブラウザが強制終了して絵が消えてしまった？そんな時こそ「自動保存から復元」を使う時です！
axp_tool_button_save,画像のセーブを行います。５つのスロット（保存スペース）を自由に使い分けることができます。ブラウザを閉じてもデータは残ります。
axp_tool_button_load,セーブした画像を読み込みます。レイヤーの情報もきちんと復元されますよ。
axp_tool_button_flipH,キャンバス全体を左右反転します。デッサンの狂いを確認する時によく使われる機能です。
axp_tool_button_flipV,キャンバス全体を上下反転します。レイヤー単体の反転は、レイヤーをダブルクリックして開くサブウィンドウ内で行えます。
axp_tool_button_transparent,背景透過画像を作成したい場合に有効にします。透明部分は市松模様として可視化されます。
axp_tool_button_grid,キャンバス上に投稿画像に影響しない補助線を表示します。補助線の間隔を調整するには、右の歯車ボタンを押してください。
axp_tool_button_gridConfig,補助線の詳細設定メニューを開閉します。
axp_tool_checkbox_gridVH,主線は縦横の分割数に従ってキャンバスを分割する線を表示します。実際に線を表示するには「補助線」ボタンの方も有効にする必要があります。
axp_tool_color_gridVH,クリックすると補助線の色を変更するサブウィンドウを表示します。
axp_tool_checkbox_gridSubDivision,副線は主線をさらに細分する線です。
axp_tool_color_gridSubDivision,クリックすると補助線の色を変更するサブウィンドウを表示します。
axp_tool_checkbox_gridDiagonal,斜めは分割数に応じた斜線を表示します。主線や副線と組み合わせて使いやすい補助線をカスタマイズしてみてください。
axp_tool_color_gridDiagonal,クリックすると補助線の色を変更するサブウィンドウを表示します。
axp_tool_range_gridH,横方向の分割数の指定です。分割数が２ならキャンバスを２分割する１本の線が引かれます。
axp_tool_range_gridV,横方向の分割数の指定です。横の分割数と異なる分割数を指定したい場合、「縦横を連動」のチェックを外してください。
axp_tool_checkbox_gridPixel1,pxはピクセル単位で間隔を指定できる補助線です。精密な作図やドット絵に適します。主線等と併用すると逆に見づらくなる場合があります。
axp_tool_color_gridPixel1,クリックすると補助線の色を変更するサブウィンドウを表示します。
axp_tool_number_gridPixel1,px1の表示間隔をピクセル単位で指定します。
axp_tool_checkbox_gridPixel2,px2はpx1と同様です。同時に２つの間隔の線を表示することができます。間隔がとても狭い補助線は、キャンバスを拡大した時だけ表示されます。
axp_tool_color_gridPixel2,クリックすると補助線の色を変更するサブウィンドウを表示します。
axp_tool_number_gridPixel2,px2の表示間隔をピクセル単位で指定します。
axp_footer,あなたに情報をお届けするためのメッセージウィンドウです。ここを見れば迷うことはありませんね。
